dataset,as_of,model,task,score,scored_runs,wall_ms,cost_usd,task_hash,receipt
0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,py-006-toposort,1.0,1,9277.7,,16f76b9517652705,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/py-006-toposort

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,rs-001-knights,1.0,1,9776.1,,631d22bf7e511097,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/rs-001-knights

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,rs-002-warehouse,1.0,1,8399.5,,08d1d98f46d3ae97,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/rs-002-warehouse

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,rs-003-code-trace,1.0,1,8761.3,,b8af58ec24ef1fa6,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/rs-003-code-trace

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,rs-004-office-grid,1.0,1,14595.3,,069fdd68470d25fd,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/rs-004-office-grid

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,rs-005-bakery-audit,1.0,1,9401.2,,168f0bd672a1029b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/rs-005-bakery-audit

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,rs-006-string-pipeline,1.0,1,10068.8,,6a8d5374a4e5a3a2,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/rs-006-string-pipeline

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,web-001-desktop,1.0,1,67162.7,,ddcd248147f105df,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/web-001-desktop

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,web-002-maze,1.0,1,55974.0,,fcc2ad961f87073b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/web-002-maze

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ag-001-fix-bugs,1.0,1,33359.2,,13fce7c7bd29b3b7,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ag-001-fix-bugs

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ag-002-build-cli,1.0,1,43558.5,,b64924cbab655cb4,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ag-002-build-cli

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ag-003-fix-package,1.0,1,42735.0,,d56780591c04fc1a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ag-003-fix-package

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ag-004-data-pipeline,1.0,1,30923.0,,a27921050ae4a7b9,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ag-004-data-pipeline

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ag-005-codebase-recon,1.0,1,39524.8,,ccc93bf833ceea12,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ag-005-codebase-recon

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ctx-001-recall-2k,1.0,1,8807.6,,f9e719265d2ef498,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ctx-001-recall-2k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ctx-002-recall-8k,1.0,1,7258.6,,f1cbe9d845299e85,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ctx-002-recall-8k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ctx-003-recall-32k,1.0,1,9198.1,,8e06d3c14e5948c5,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ctx-003-recall-32k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ctx-004-recall-64k,1.0,1,10107.2,,ce3780046b279046,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ctx-004-recall-64k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ctx-005-aggregate-16k,1.0,1,9641.7,,aad66c83304d7803,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ctx-005-aggregate-16k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ctx-006-superseded-16k,1.0,1,9224.5,,633a0e3a9d4c128a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ctx-006-superseded-16k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,ctx-007-tally-16k,1.0,1,61788.2,,03aaf28c9227c675,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/ctx-007-tally-16k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,py-001-rle,1.0,1,10286.4,,33756edc572fa2f0,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/py-001-rle

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,py-002-lru-cache,1.0,1,14163.4,,180de3b4b6b38c44,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/py-002-lru-cache

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,py-003-date-parser,1.0,1,44971.7,,84e2e95b72fe026b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/py-003-date-parser

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,py-004-expr-eval,0.8889,1,141187.6,,be916a8e43d37f8a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/py-004-expr-eval

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,py-005-csv-parser,0.9,1,85681.1,,96d03caf6c0c2b60,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/py-005-csv-parser

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,py-006-toposort,1.0,1,26718.8,,16f76b9517652705,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/py-006-toposort

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,rs-001-knights,1.0,1,19576.3,,631d22bf7e511097,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/rs-001-knights

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,rs-002-warehouse,1.0,1,5652.1,,08d1d98f46d3ae97,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/rs-002-warehouse

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,rs-003-code-trace,1.0,1,10797.7,,b8af58ec24ef1fa6,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/rs-003-code-trace

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,rs-004-office-grid,1.0,1,18069.0,,069fdd68470d25fd,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/rs-004-office-grid

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,rs-005-bakery-audit,1.0,1,9164.5,,168f0bd672a1029b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/rs-005-bakery-audit

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,rs-006-string-pipeline,1.0,1,66394.1,,6a8d5374a4e5a3a2,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/rs-006-string-pipeline

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,web-001-desktop,1.0,1,53615.2,,ddcd248147f105df,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/web-001-desktop

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-haiku-4-5,web-002-maze,0.9,1,152682.6,,fcc2ad961f87073b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-haiku-4-5/web-002-maze

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ag-001-fix-bugs,1.0,1,17479.9,,13fce7c7bd29b3b7,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ag-001-fix-bugs

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ag-002-build-cli,1.0,1,17013.9,,b64924cbab655cb4,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ag-002-build-cli

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ag-003-fix-package,1.0,1,28173.8,,d56780591c04fc1a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ag-003-fix-package

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ag-004-data-pipeline,1.0,1,24420.8,,a27921050ae4a7b9,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ag-004-data-pipeline

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ag-005-codebase-recon,1.0,1,19653.5,,ccc93bf833ceea12,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ag-005-codebase-recon

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ctx-001-recall-2k,1.0,1,3041.1,,f9e719265d2ef498,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ctx-001-recall-2k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ctx-002-recall-8k,1.0,1,3461.2,,f1cbe9d845299e85,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ctx-002-recall-8k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ctx-003-recall-32k,1.0,1,4926.3,,8e06d3c14e5948c5,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ctx-003-recall-32k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ctx-004-recall-64k,1.0,1,4081.8,,ce3780046b279046,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ctx-004-recall-64k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ctx-005-aggregate-16k,1.0,1,4023.0,,aad66c83304d7803,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ctx-005-aggregate-16k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ctx-006-superseded-16k,1.0,1,5048.4,,633a0e3a9d4c128a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ctx-006-superseded-16k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,ctx-007-tally-16k,1.0,1,8150.9,,03aaf28c9227c675,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/ctx-007-tally-16k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,py-001-rle,1.0,1,5218.9,,33756edc572fa2f0,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/py-001-rle

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,py-002-lru-cache,1.0,1,4158.6,,180de3b4b6b38c44,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/py-002-lru-cache

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,py-003-date-parser,1.0,1,8796.3,,84e2e95b72fe026b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/py-003-date-parser

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,py-004-expr-eval,1.0,1,14823.7,,be916a8e43d37f8a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/py-004-expr-eval

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,py-005-csv-parser,1.0,1,11281.7,,96d03caf6c0c2b60,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/py-005-csv-parser

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,py-006-toposort,1.0,1,4797.1,,16f76b9517652705,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/py-006-toposort

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,rs-001-knights,1.0,1,10004.9,,631d22bf7e511097,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/rs-001-knights

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,rs-002-warehouse,1.0,1,4444.5,,08d1d98f46d3ae97,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/rs-002-warehouse

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,rs-003-code-trace,1.0,1,7885.0,,b8af58ec24ef1fa6,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/rs-003-code-trace

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,rs-004-office-grid,1.0,1,13785.8,,069fdd68470d25fd,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/rs-004-office-grid

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,rs-005-bakery-audit,1.0,1,7617.6,,168f0bd672a1029b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/rs-005-bakery-audit

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,rs-006-string-pipeline,1.0,1,9039.6,,6a8d5374a4e5a3a2,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/rs-006-string-pipeline

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,web-001-desktop,1.0,1,75144.1,,ddcd248147f105df,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/web-001-desktop

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-opus-4-8,web-002-maze,1.0,1,88084.1,,fcc2ad961f87073b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_172408/claude-cli-opus-4-8/web-002-maze

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-sonnet-4-6,ag-001-fix-bugs,1.0,1,13392.1,,13fce7c7bd29b3b7,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_165819/claude-cli-sonnet-4-6/ag-001-fix-bugs

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-sonnet-4-6,ag-002-build-cli,1.0,1,32861.9,,b64924cbab655cb4,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_165819/claude-cli-sonnet-4-6/ag-002-build-cli

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-sonnet-4-6,ag-003-fix-package,1.0,1,47658.7,,d56780591c04fc1a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_165819/claude-cli-sonnet-4-6/ag-003-fix-package

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-sonnet-4-6,ag-004-data-pipeline,1.0,1,31297.0,,a27921050ae4a7b9,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_165819/claude-cli-sonnet-4-6/ag-004-data-pipeline

