dataset,as_of,model,task,score,scored_runs,wall_ms,cost_usd,task_hash,receipt

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ag-001-fix-bugs,1.0,1,49576.6,,13fce7c7bd29b3b7,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ag-001-fix-bugs

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ag-002-build-cli,1.0,1,43217.8,,b64924cbab655cb4,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ag-002-build-cli

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ag-003-fix-package,1.0,1,74089.0,,d56780591c04fc1a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ag-003-fix-package

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ag-004-data-pipeline,1.0,1,34963.2,,a27921050ae4a7b9,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ag-004-data-pipeline

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ag-005-codebase-recon,1.0,1,42816.2,,ccc93bf833ceea12,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ag-005-codebase-recon

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ctx-001-recall-2k,1.0,1,8093.6,,f9e719265d2ef498,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ctx-001-recall-2k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ctx-002-recall-8k,1.0,1,6638.2,,f1cbe9d845299e85,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ctx-002-recall-8k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ctx-003-recall-32k,1.0,1,11283.9,,8e06d3c14e5948c5,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ctx-003-recall-32k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ctx-004-recall-64k,1.0,1,12670.7,,ce3780046b279046,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ctx-004-recall-64k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ctx-005-aggregate-16k,1.0,1,7096.4,,aad66c83304d7803,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ctx-005-aggregate-16k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ctx-006-superseded-16k,1.0,1,12993.7,,633a0e3a9d4c128a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ctx-006-superseded-16k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,ctx-007-tally-16k,1.0,1,14743.2,,03aaf28c9227c675,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/ctx-007-tally-16k

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,py-001-rle,1.0,1,11400.5,,33756edc572fa2f0,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/py-001-rle

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,py-002-lru-cache,1.0,1,11515.5,,180de3b4b6b38c44,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/py-002-lru-cache

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,py-003-date-parser,1.0,1,10858.3,,84e2e95b72fe026b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/py-003-date-parser

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,py-004-expr-eval,1.0,1,28295.7,,be916a8e43d37f8a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/py-004-expr-eval

0.3.0,2026-07-11T02:51:29.753+00:00,claude-cli-fable-5,py-005-csv-parser,1.0,1,26172.2,,96d03caf6c0c2b60,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.3/runs/2026-07-10_212507/claude-cli-fable-5/py-005-csv-parser

