dataset,as_of,model,task,score,scored_runs,wall_ms,cost_usd,task_hash,receipt

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ag-001-fix-bugs,1.0,1,43049.8,,13fce7c7bd29b3b7,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ag-001-fix-bugs

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ag-002-build-cli,1.0,1,36162.4,,b64924cbab655cb4,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ag-002-build-cli

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ag-003-fix-package,1.0,1,69525.4,,d56780591c04fc1a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ag-003-fix-package

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ag-004-data-pipeline,1.0,1,35185.7,,a27921050ae4a7b9,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ag-004-data-pipeline

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ag-005-codebase-recon,1.0,1,51801.5,,ccc93bf833ceea12,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ag-005-codebase-recon

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ctx-001-recall-2k,1.0,1,6748.0,,f9e719265d2ef498,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ctx-001-recall-2k

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ctx-002-recall-8k,1.0,1,8031.0,,f1cbe9d845299e85,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ctx-002-recall-8k

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ctx-003-recall-32k,1.0,1,9216.8,,8e06d3c14e5948c5,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ctx-003-recall-32k

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ctx-004-recall-64k,1.0,1,17965.3,,ce3780046b279046,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ctx-004-recall-64k

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ctx-005-aggregate-16k,1.0,1,7979.7,,aad66c83304d7803,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ctx-005-aggregate-16k

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ctx-006-superseded-16k,1.0,1,8235.2,,633a0e3a9d4c128a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ctx-006-superseded-16k

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,ctx-007-tally-16k,1.0,1,10504.9,,03aaf28c9227c675,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/ctx-007-tally-16k

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,py-001-rle,1.0,1,7719.0,,33756edc572fa2f0,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/py-001-rle

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,py-002-lru-cache,1.0,1,10038.2,,180de3b4b6b38c44,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/py-002-lru-cache

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,py-003-date-parser,1.0,1,11825.7,,84e2e95b72fe026b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/py-003-date-parser

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,py-004-expr-eval,1.0,1,29734.8,,be916a8e43d37f8a,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/py-004-expr-eval

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,py-005-csv-parser,1.0,1,33431.9,,96d03caf6c0c2b60,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/py-005-csv-parser

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,py-006-toposort,1.0,1,6641.8,,16f76b9517652705,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/py-006-toposort

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,rs-001-knights,1.0,1,11592.1,,631d22bf7e511097,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/rs-001-knights

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,rs-002-warehouse,1.0,1,6445.4,,08d1d98f46d3ae97,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/rs-002-warehouse

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,rs-003-code-trace,1.0,1,7274.9,,b8af58ec24ef1fa6,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/rs-003-code-trace

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,rs-004-office-grid,1.0,1,18970.7,,069fdd68470d25fd,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/rs-004-office-grid

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,rs-005-bakery-audit,1.0,1,11902.5,,168f0bd672a1029b,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/rs-005-bakery-audit

0.4.0,2026-07-13T04:50:15.691+00:00,claude-cli-fable-5,rs-006-string-pipeline,1.0,1,8635.2,,6a8d5374a4e5a3a2,https://github.com/tokenwaster/llm-testing-public/tree/3c214a953eac0a14bcee1c627d52f2a498c74cf8/archive/v0.4/runs/2026-07-11_140320/claude-cli-fable-5/rs-006-string-pipeline

